All_seq_Fusarinine-consensus	All_seq_Fusarinine-consensus
All_seq_putSID2-consensus	All_seq_putSID2-consensus
AsbE_petrobactin_synthesis-rep-consensus	AsbE_petrobactin_synthesis-rep-consensus
DhbA-VibA-VabA-EntA-consensus	DhbA-VibA-VabA-EntA-consensus
DhbB-EntB-VenB-VibB-VabB-consensus	DhbB-EntB-VenB-VibB-VabB-consensus
DhbB-EntB-VenB-VibB-VabB-consensus	K01252-consensus
DhbC-VibC-VabC-consensus	DhbC-VibC-VabC-consensus
DhbE-PchD-VibE-VabE-EntE-IroD-PvdQ-MbtA-consensus	DhbE-PchD-VibE-VabE-EntE-IroD-PvdQ-MbtA-consensus
DhbF-PvdDIJL-VabF-consensus	DhbF-PvdDIJL-VabF-consensus
Fer3_USTMA_V2-consensus	Fer3_USTMA_V2-consensus
IroD-VabH-enterochelin_esterase-rep-consensus	IroD-VabH-enterochelin_esterase-rep-consensus
K00216-consensus	K00216-consensus
K00824-consensus	K00824-consensus
K01582-consensus	K01582-consensus
K01780-consensus	K01780-consensus
K01851-consensus	K01851-consensus
K01909-consensus	K01909-consensus
K04759-consensus	K04759-consensus
K04788-consensus	K04788-consensus
K04789-consensus	K04789-consensus
K04790-consensus	K04790-consensus
K04790-consensus	Sid_MbtC_Mycobactin_biosynthesis_Mycobacterium_tuberculosis_NP_216898.1-consensus
K04791-consensus	K04791-consensus
K04792-consensus	K04792-consensus
K05375-consensus	K05375-consensus
K07116-consensus	K07116-consensus
K07224-consensus	K07224-consensus
K07230-consensus	K07230-consensus
K10531-consensus	K10531-consensus
K11604-consensus	K11604-consensus
K12237-consensus	K12237-consensus
K12238-consensus	K12238-consensus
K12239-consensus	K12239-consensus
K12240-consensus	K12240-consensus
K12241-consensus	K12241-consensus
K12346-consensus	K12346-consensus
K13745-consensus	K13745-consensus
K14759-consensus	K14759-consensus
K15584-consensus	K15584-consensus
K15652-consensus	K15652-consensus
K15653-consensus	K15653-consensus
K15681-consensus	K15681-consensus
K15721-consensus	K15721-consensus
K16088-consensus	K16088-consensus
K16089-consensus	K16089-consensus
K16090-consensus	K16090-consensus
K16091-consensus	K16091-consensus
K19611-consensus	K19611-consensus
K19791-consensus	K19791-consensus
K19792-consensus	K19792-consensus
K21721-consensus	K21721-consensus
K21949-consensus	K21949-consensus
K21992-consensus	K21992-consensus
K22148-consensus	K22148-consensus
K22149-consensus	K22149-consensus
K22150-consensus	K22150-consensus
K22151-consensus	K22151-consensus
K22152-consensus	K22152-consensus
K22153-consensus	K22153-consensus
K22153-consensus	put_TAFC_VF-consensus
K23120-consensus	K23120-consensus
K23122-consensus	K23122-consensus
K23181-consensus	K23181-consensus
K23185-consensus	K23185-consensus
K23227-consensus	K23227-consensus
K23371-consensus	K23371-consensus
K23372-consensus	K23372-consensus
K23373-consensus	K23373-consensus
K23374-consensus	K23374-consensus
K23375-consensus	K23375-consensus
K23376-consensus	K23376-consensus
K23446-consensus	K23446-consensus
K23447-consensus	K23447-consensus
K23725-consensus	K23725-consensus
K24101-consensus	K24101-consensus
K24108-consensus	K24108-consensus
K24109-consensus	K24109-consensus
K24110-consensus	K24110-consensus
K24111-consensus	K24111-consensus
K24112-consensus	K24112-consensus
K25109-consensus	K25109-consensus
K25113-consensus	K25113-consensus
K25282-consensus	K25282-consensus
K25286-consensus	K25286-consensus
K25287-consensus	K25287-consensus
K25308-consensus	K25308-consensus
ac_ACP_DH_MbtN-consensus	ac_ACP_DH_MbtN-consensus
ac_ACP_DH_MbtN-consensus	K00257-consensus
PF04183-IucA_IucC-rhbCF-AcsD-PvsD-consensus	PF04183-IucA_IucC-rhbCF-AcsD-PvsD-consensus
MHB-consensus	MHB-consensus
PRK10003.1-consensus	PRK10003.1-consensus
PRK10044.1-consensus	PRK10044.1-consensus
Put_copfam2_VF_corr-consensus	Put_copfam2_VF_corr-consensus
Put_copfam3_VF_corr-consensus	Put_copfam3_VF_corr-consensus
Put_copfam4_VF_corr-consensus	Put_copfam4_VF_corr-consensus
Put_rhizoferrin_VF_corr-consensus	Put_rhizoferrin_VF_corr-consensus
PvdDIJL-VabF-VibF-EntF-DhbF-MbtB-PchE-consensus	PvdDIJL-VabF-VibF-EntF-DhbF-MbtB-PchE-consensus
PvdDIJL-VabF-VibF-EntF-DhbF-MbtBEF-PchE-AngR-PchF-consensus	PvdDIJL-VabF-VibF-EntF-DhbF-MbtBEF-PchE-AngR-PchF-consensus
PvdQ_pyoverdine_biosynthesis-rep-consensus	PvdQ_pyoverdine_biosynthesis-rep-consensus
PvsA_vibrioferrin_biosynthesis-rep-consensus	PvsA_vibrioferrin_biosynthesis-rep-consensus
PvsB-AcsD-IucA-IucC-RhbCF-PvsD-consensus	PvsB-AcsD-IucA-IucC-RhbCF-PvsD-consensus
PvsC_vibrioferrin_biosynthesis-rep-consensus	PvsC_vibrioferrin_biosynthesis-rep-consensus
